system:index,DistanceToLine,NDVI,ProximityFactor,RiskLabel,RiskScore,Vegetation,VegetationFactor,latitude,longitude,.geo
1,2513.185229942274,0.42671269251194904,0.28462219350519885,0,0.2224597566980359,1,0.18101813215992724,26.04804405173591,80.22777445672297,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1100.5453193758083,0.3896810992999741,0.576792520869481,0,0.30758652203348447,1,0.12811585614282014,26.01085379897336,80.10093233860529,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1241.933975700802,0.5225455708346659,0.5374245032849243,1,0.40572314774368334,1,0.31792224404952274,26.011482619672247,80.13102590062329,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,640.0781202322104,0.6031036915118739,0.726120674161926,1,0.5502514338178053,1,0.43300527358839136,25.979322932500768,80.33647060610143,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,932.6306878931232,0.406494960806271,0.6273094346208421,0,0.3422051688251406,1,0.1521356582946729,26.037354099854888,79.95872902912916,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1322.1951444472938,0.41838649155722324,0.5162843640256414,0,0.3079878812307336,1,0.1691235593674618,26.03690494221283,80.22840327742185,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1013.1633629380802,0.35958549222797925,0.6025517763439372,0,0.29209398959012856,1,0.08512213175425609,26.013279250240487,80.29308197787846,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1176.4352935882193,0.4788211103495546,0.5553161727596467,1,0.3754017065463341,1,0.2554587290707923,26.028550610070518,80.25723919804209,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2025.2654147049466,0.21467503665000187,0.3632613587069582,0,0.1453045434827833,0,0.0,26.044540622127844,80.16004148430035,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1734.156855650607,0.4883142715067131,0.42017733617705894,0,0.32948316719086335,1,0.269020387866733,26.03564730081506,80.24996284424071,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2483.082761407682,0.15346121768140117,0.2889385102803603,0,0.11557540411214412,0,0.0,26.02962858841146,80.29092602119657,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1273.184982632139,0.44305555555555554,0.5290922422635629,0,0.33425594452447277,1,0.20436507936507936,26.03690494221283,79.9943921459087,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,590.3388857258177,0.5530700753252682,0.7444054425896793,1,0.5146793844575303,1,0.3615286790360975,25.941414027510923,80.39144750148954,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1849.7837711473198,0.506416584402764,0.3965742921594497,0,0.3355582177804348,1,0.2948808348610915,26.043552475315312,80.15141765757281,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1930.5180651835403,0.4026818366517676,0.3808845254541675,0,0.24036681302603924,1,0.14668833807395373,25.932700369254963,80.40788667118892,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,490.0,0.3246906305244549,0.7827045382418681,0,0.3342452128891372,1,0.03527232932064988,26.01893863653044,80.01487373438664,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2839.242856819402,0.33601096075524106,0.24180554027979395,0,0.1275887539021242,1,0.05144422965034439,26.04481011671308,80.1799840836078,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1413.15250415516,0.6126220554973244,0.4933303480908551,1,0.4652939010911915,1,0.4466029364247492,26.010494472859715,80.19705207400608,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1784.740877550576,0.40769605455431074,0.4096834712548765,0,0.25618429240564555,1,0.15385150650615823,26.033671007189998,79.90878269933212,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1724.5579143653017,0.5639967283586633,0.42219881209353044,1,0.3951624348591236,1,0.3771381833695191,26.036365953042356,80.17450436037467,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2505.3941805632103,0.38007736943907156,0.28573310868108,0,0.1829309887059219,1,0.11439624205581653,25.999535026393456,80.23684744109256,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2405.202694161139,0.5645791405232627,0.30041171943687894,0,0.3469468082232625,1,0.37797020074751825,25.960907469176316,80.41049178551287,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,76.15773105863909,0.5254587155963303,0.962637019019382,1,0.5783051352617502,1,0.322083879423329,25.94779206602817,80.38956103939289,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1803.3579788827287,0.0664208585725573,0.40588760631519144,0,0.16235504252607658,0,0.0,26.036725279156006,80.1070408825373,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,693.757882838098,0.4180677338910789,0.7068908982871855,1,0.38395727407865615,1,0.16866819127296984,26.014716554695077,80.24340514266665,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2075.427666771357,0.39610247427195094,0.35426366263230497,0,0.22407901442887995,1,0.13728924895992994,26.0494813561905,79.94013390274789,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1426.8847185389575,0.3308550185873606,0.48995469111283335,0,0.22242903523429958,1,0.04407859798194374,26.015165712337136,79.96708336127148,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,3252.1377584598104,0.5860436137071651,0.1967013128504461,0,0.32386076546060566,1,0.4086337338673787,25.976897481233646,80.40267644254104,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,332.41540277189324,0.5081405312767782,0.8468703197820632,1,0.5171542975786352,1,0.29734361610968313,26.026664147973865,80.01199912547746,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1959.7193676646666,0.3944250871080139,0.37536376476132605,0,0.23108129485425663,1,0.134892981582877,26.003218119058346,80.17145008840866,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2628.554735971842,0.5670400354885217,0.2686684014953024,0,0.3363588195882824,1,0.3814857649836024,25.97402287232446,80.3979153715352,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,819.8780397107853,0.494949494949495,0.6636907208584841,1,0.4325758554429608,1,0.2784992784992786,25.971777084114162,80.32380436059533,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,941.9129471453293,0.28942637685896394,0.6244047559281736,0,0.24976190237126944,0,0.0,26.021723413911207,79.9448051422253,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1307.7079184588583,0.4060500921609021,0.5200377056191284,0,0.29891516124271034,1,0.1515001316584316,26.00339778211517,80.26226976363316,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1062.308806327049,0.42183742183742184,0.5879258742896409,0,0.33960242557650366,1,0.17405345976774553,26.03825241513901,80.20351994405173,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,970.1546268507923,0.35951915012580377,0.6156495969450727,0,0.2972762531715752,1,0.08502735732257682,26.016962342905376,80.14324298848732,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1134.6365056704283,0.35579330753471433,0.5670440703242738,0,0.27464046315946467,1,0.07970472504959192,26.03834224666742,79.91641837924713,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,704.3436661176133,0.4813599062133646,0.7031592855839246,1,0.43671506241645375,1,0.2590855803048066,25.950936169522592,80.37752361458568,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,221.35943621178654,0.5575888051668461,0.8952254275131768,1,0.578880575433996,1,0.3679840073812087,26.02037594098503,80.128780112413,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1140.043858805441,0.5376984126984127,0.5655130372004225,1,0.4299467114788085,1,0.33956916099773243,26.02908959924099,80.11252060577043,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2098.022878807569,0.3372889091738932,0.35028385482610486,0,0.17207546407949328,1,0.05326987024841888,26.04436095907102,80.22714563602408,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1122.7199116431489,0.3369140625,0.5704327727375502,0,0.2598137340950201,1,0.05273437500000002,26.009236831461948,80.10506458891224,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,1259.3649193144934,0.4958196634564504,0.5327609472438923,1,0.3809498047173716,1,0.27974237636635774,25.966746518523095,80.32434334976581,"{""type"":""MultiPoint"",""coordinates"":[]}"
